Fecha;Unidades;TRM;TRMdesfas
14/04/2012;422;$ 1.777,12 ;$ 1.785,24 
15/04/2012;0;$ 1.777,12 ;$ 1.791,29 
16/04/2012;795;$ 1.777,12 ;$ 1.792,92 
17/04/2012;1067;$ 1.775,67 ;$ 1.779,81 
18/04/2012;1360;$ 1.769,07 ;$ 1.779,81 
19/04/2012;1083;$ 1.774,21 ;$ 1.779,81 
20/04/2012;1443;$ 1.776,06 ;$ 1.779,81 
21/04/2012;310;$ 1.771,13 ;$ 1.777,59 
22/04/2012;0;$ 1.771,13 ;$ 1.781,57 
23/04/2012;965;$ 1.771,13 ;$ 1.776,11 
24/04/2012;1143;$ 1.774,44 ;$ 1.772,42 
25/04/2012;1361;$ 1.767,91 ;$ 1.772,42 
26/04/2012;1264;$ 1.763,85 ;$ 1.772,42 
27/04/2012;737;$ 1.764,63 ;$ 1.777,27 
28/04/2012;515;$ 1.761,20 ;$ 1.767,83 
29/04/2012;34;$ 1.761,20 ;$ 1.766,85 
30/04/2012;1286;$ 1.761,20 ;$ 1.770,70 
01/05/2012;3;$ 1.764,00 ;$ 1.775,69 
02/05/2012;965;$ 1.764,00 ;$ 1.775,69 
03/05/2012;1228;$ 1.760,12 ;$ 1.775,69 
04/05/2012;1349;$ 1.754,89 ;$ 1.774,03 
05/05/2012;375;$ 1.757,24 ;$ 1.779,32 
06/05/2012;0;$ 1.757,24 ;$ 1.773,88 
07/05/2012;985;$ 1.757,24 ;$ 1.765,06 
08/05/2012;1353;$ 1.759,12 ;$ 1.762,08 
09/05/2012;1426;$ 1.760,60 ;$ 1.762,08 
10/05/2012;1393;$ 1.775,96 ;$ 1.762,08 
11/05/2012;1455;$ 1.765,00 ;$ 1.766,10 
12/05/2012;230;$ 1.764,69 ;$ 1.760,77 
13/05/2012;1;$ 1.764,69 ;$ 1.761,04 
14/05/2012;1055;$ 1.764,69 ;$ 1.761,02 
15/05/2012;1276;$ 1.771,60 ;$ 1.758,38 
16/05/2012;1314;$ 1.778,37 ;$ 1.758,38 
17/05/2012;1388;$ 1.793,61 ;$ 1.758,38 
18/05/2012;1282;$ 1.804,92 ;$ 1.758,38 
19/05/2012;437;$ 1.814,46 ;$ 1.759,78 
20/05/2012;15;$ 1.814,46 ;$ 1.758,03 
21/05/2012;0;$ 1.814,46 ;$ 1.761,87 
22/05/2012;940;$ 1.814,46 ;$ 1.760,17 
23/05/2012;1045;$ 1.824,73 ;$ 1.760,17 
24/05/2012;1198;$ 1.845,17 ;$ 1.760,17 
25/05/2012;1338;$ 1.836,45 ;$ 1.759,58 
26/05/2012;436;$ 1.840,69 ;$ 1.762,93 
27/05/2012;0;$ 1.840,69 ;$ 1.771,25 
28/05/2012;894;$ 1.840,69 ;$ 1.784,66 
29/05/2012;1146;$ 1.840,69 ;$ 1.792,07 
30/05/2012;1283;$ 1.818,82 ;$ 1.792,07 
31/05/2012;1256;$ 1.827,83 ;$ 1.792,07 
01/06/2012;1222;$ 1.833,80 ;$ 1.779,13 
